category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Flight Plan,"The measured course 042° T.<br>The variation in the area is 6° W and the wind is calm.<br>The deviation card reads:<br>CH: 000° 045° 090° 135°<br>Deviation: -2 -4 -3 -1<br>In order to follow this course,the pilot must fly a compass heading of:",052°,044°,040°,058°,1,,
Flight Plan,VFR flights shall not be flown over the congested areas of cities at a height less than:,the highest obstacle.,1 000 ft above the highest obstacle within a radius of 600 m from the aircraft.,500 ft above the highest obstacle.,2 000 ft above the highest obstacle within a radius of 600 ft from the aircraft.,2,,
Flight Plan,"Given:<br><br>True course: 017°<br>W/V: 340/30<br>TAS: 420 kts<br><br>Find wind correction angle (WCA) and ground speed (GS)","WCA +2° GS 416 kts","WCA +2°;GS 396 kts","WCA -2°;GS 426 kts","WCA -2°; GS 396 kts",4,,
Flight Plan,How many feet you have to climb to reach FL75? Given:<br><br>Departure aerodrome elevation: 1 500 ft<br>QNH: 1023 hPa<br>Temperature: ISA<br>1 hPa: 30 ft,6300 ft,6600 ft,6000 ft,7800 ft,1,,
Flight Plan,What is the primary reason for studying SID & STAR charts before and during a flight?,To check for any changes to the published procedures.,To ensure the correct lateral and vertical profiles are flown.,To ensure that noise abatement procedures are observed.,In order to take account of any pre-planned flight deviations before the flight.,2,,
Flight Plan,"On an instrument approach chart,a minimum sector altitude (MSA) is defined in relation to a radio navigation facility. Without any particular specification on distance,this altitude is valid to:",25 NM,20 NM,10 NM,15 NM,1,,
Flight Plan,An appropriate ICAO non-RVSM flight level for IFR flight in accordance with semi-circular height rules on a magnetic course of 200° is:,FL300,FL310,FL290,FL320,2,,
Flight Plan,"An airway is marked ""3500T 2100a"". This indicates that:",the airway base is 3 500 ft MSL.,the airway is a low level link route 2 100 ft - 3 500 ft MSL.,the minimum obstruction clearance altitude (MOCA) is 3 500 ft.,the minimum enroute altitude (MEA) is 3 500 ft.,3,,
Flight Plan,Unless otherwise stated on charts for standard instrument departures the depicted routes are defined as:,magnetic courses.,true courses.,magnetic headings.,true headings.,1,,
Flight Plan,"An aircraft,following a 215° true track at variation 3°W,must fly over a 10 600 ft obstacle with a minimum obstacle clearance of 1 500 ft. Knowing the QNH received from an airport close by,which is almost at sea-level,is 1035 and the temperature is ISA -15 °C,the minimum flight level will be:",150,120,130,140,4,,
Flight Plan,"ICAO Doc 8168 states that specific altitudes are established for each aerodrome and provide at least 300 m (1 000 ft) obstacle clearance within 46 km (25 NM) of the navigation aid,initial approach fix or intermediate fix associated with the approach procedure for that aerodrome. Which of the following abbreviations is used for such altitudes?",MSA,MCA,MEA,MOCA,1,,
