category,question,optionA,optionB,optionC,optionD,correct,image,explanation
IFR Comms,"What does the term ""EXPECTED APPROACH TIME"" mean?","The holding time over the radio facility from which the instruments approach procedure for a landing will be initiated.","The time at which ATC expects that an arriving aircraft, following a delay, will leave the holding point to complete its approach for a landing.","The time at which an arriving aircraft, upon reaching the radio aid serving the destination aerodrome, will commence the instrument approach procedure for a landing.","The time at which an arriving aircraft expects to arrive over the appropriate designated navigation aid serving the destination aerodrome.",2,,
IFR Comms,"What does the term ""BROADCAST"" mean?","A transmission of information relating to air navigation that is not addressed to a specific station or stations.","A radiotelephony transmission from ground station to aircraft in flight.","A transmission containing meteorological and operational information to aircraft engaged in flights over remote and oceanic areas out of range of VHF ground stations.","A transmission where no reply is required from the receiving station.",1,,
IFR Comms,"What does the term ""CLEARANCE LIMIT"" mean?","The time of expiry of air traffic control clearance.","The time after which air traffic control clearance will be automatically cancelled if the flight has not been commenced.","The time at which aircraft is given an air traffic control clearance.","The point to which aircraft is granted an air traffic control clearance.",4,,
IFR Comms,"What does the term ""BLIND TRANSMISSION"" mean?",A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission from one station to another station in circumstances where two-way communication cannot be established but it is believed that the called station is able to receive the transmission.,A transmission where no reply is required from the receiving station.,A transmission of messages relating to enroute weather information which may affect the safety of aircraft operations that is not addressed to a specific station or stations.,2,,
IFR Comms,What does the abbreviation 'APV' mean?,approach protection vectors,approach procedures with vertical guidance,aerodrome precision visibility (monitoring system by observation),aerodrome precision visibility (automatic monitoring system),2,,
IFR Comms,ICAO defines the term instrument approach as follows:,"From the beginning of a defined arrival route to a point from which a landing can be completed and thereafter, if a landing is not completed, to a position at which holding or en-route obstacle clearance criteria apply.","From the initial approach fix to a point from which a landing can be completed, e.g. MDA or DA.",From the beginning of a defined arrival route to a point from which a landing can be completed.,"From the beginning of a defined approach to a point from which a landing can be completed and thereafter, if a landing is not completed, to an altitude of 1 500 ft above the aerodrome reference point.",1,,
IFR Comms,"When flying in accordance with IFR, which of the following best describes the term ""VISUAL APPROACH""?",An approach executed by an IFR flight unable to maintain VMC.,A visual manoeuvre executed by an IFR flight when the weather conditions at the aerodrome of destination are equal to or better than required VMC minima.,An approach by an IFR flight when either part or all of an instrument approach procedure is not completed and the approach is executed in visual reference to terrain.,An extension of an instrument approach procedure to bring an aircraft into position for landing on a runway which is not suitably located for straight-in-approach.,3,,
IFR Comms,What rate of speech does ICAO recommend for radio communications? An even rate of speech not exceeding:,90 words per minute.,200 words per minute.,100 words per minute.,150 words per minute.,3,,
IFR Comms,"Which of the following calls is a ""GENERAL CALL""?","YX-ABC, YX-BCD, YX-CDE Stephenville CONTROL.","YX-EFG, YX-FGH over.",ALL STATIONS Stephenville CONTROL.,YX-DEF Stephenville CONTROL.,3,,
IFR Comms,"What does the term ""AIR-GROUND COMMUNICATION"" mean?",Two-way communication between aircraft and stations or locations on the surface of the Earth.,Any communication from aircraft to ground station requiring handling by the Aeronautical Fixed Telecommunication Network (AFTN).,One-way communication from stations or locations on the surface of the Earth.,One-way communication from aircraft to stations or locations on the surface of the Earth.,1,,
