category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Mass And Balance,The basic empty mass of an aeroplane is recorded in:,"the weighing schedule. If changes occur, due to modifications, the aeroplane must be re-weighed always.",the weighing schedule and is amended to take account of changes due to modifications of the aeroplane.,the loading manifest. It differs from dry operating mass by the value of the 'Traffic Load'.,the loading manifest. It differs from the zero fuel mass by the value of the 'Traffic Load'.,2,,
Mass And Balance,Usually in mass and balance calculations an index is used. The loaded index is:,a value of moment which is simplified and scaled down.,used in fuel density calculations and is called fuel-loading index.,used for ground handling purposes and is called wing-loading index.,called floor-loading index and it is used to simplify the loading of an aircraft.,1,,
Mass And Balance,"Given the following information at take-off:<br><br>ITEM MASS ARM MOMENT<br>(kg) (cm) (kgcm)<br>Basic Empty Condition 12045 +30 +361350<br>Crew 145 -160 -23200<br>Freight 1 570 +200 +114000<br>Freight 2 410 -40 -16400<br>Fuel 6045 -8 -48360<br><br>Flight time: 2 hrs<br>Estimated fuel flow: 1.050 l/hr<br>Fuel density: 0.79 kg/l<br><br>The ""Freight 2"" will be dropped during flight within the scope of a rescue action. Calculate the CG position at landing.",27 cm aft of datum.,22 cm aft of datum.,24 cm aft of datum.,25 cm aft of datum.,3,,
Mass And Balance,"In mass and balance calculations the ""index"" is:",is a figure without unit of measurement which represents a moment.,an imaginary vertical plane or line from which all measurements are taken.,the range of moments the centre of gravity (CG) can have without making the aeroplane unsafe to fly.,a location in the aeroplane identified by a number.,1,,
Mass And Balance,The principle of the index method is:,to divide high magnitude moments by a constant and thereby simplify calculations by decreased values.,to round all values for easier and much faster calculation.,to refer all the items of an aircraft to a position which is called BA (Balance Arm).,to calculate the centre of gravity position (CG) and stabiliser trim setting without calculating the load sheet.,1,,
Mass And Balance,What is the DOI?,The index for the position of the centre of gravity at dry operating mass.,The index for the position of the centre of pressure at any mass.,The index for the position of the centre of gravity when dropping cargo during flight.,The index for the position of the centre of gravity at operating mass.,1,,
Mass And Balance,"Given the following information, calculate the loaded centre of gravity (CG).<br><br>STATION<br>Basic Empty Mass<br>Mass (kg): 12045<br>Arm (cm): +30<br>Moment (kgcm): +361350<br><br>Crew<br>Mass (kg): 145<br>Arm (cm): +160<br>Moment (kgcm): -23200<br><br>Freight 1<br>Mass (kg): 5455<br>Arm (cm): +200<br>Moment (kgcm): +1109100<br><br>Freight 2<br>Mass (kg): 410<br>Arm (cm): -40<br>Moment (kgcm): -16400<br><br>Fuel<br>Mass (kg): 6045<br>Arm (cm): -8<br>Moment (kgcm): -48360<br><br>Additional equipment for the mission<br>Mass (kg): 124<br>Arm (cm): +40<br>Moment (kgcm): +4960",53.35 cm aft of datum.,60.16 cm aft of datum.,56.53 cm aft of datum.,56.35 cm aft of datum.,3,,
Mass And Balance,The method of using indexes in mass and balance calculations is used to:,decrease the magnitude of the useful load.,increase the magnitude of the useful load.,decrease the magnitude of the moments.,increase the magnitude of the moments.,3,,
Mass And Balance,State the advantage(s) of the index method to determine moments:,it reduces the dimensions of the moments thus making it easier to calculate.,it directly produces the centre of gravity position (CG) and the stabiliser trim setting.,it enables the pilots to calculate the centre of gravity position (CG) by mental arithmetic and thereby expedites mass and balance calculations.,it is a digital system and can be used to automatically upload data to the aircraft flight management computer (FMC) for determining the stabiliser trim setting.,1,,
Mass And Balance,How can you calculate the DOI?,DOM x CG arm + constant,DOM x CG arm / constant,DOM + constant,OM x constant,2,,
Mass And Balance,"Cargo compartment 1: empty<br>Cargo compartment 2: 1 000 kg<br>Cargo compartment 3: 3 000 kg<br>Cargo compartment 4: 2 000 kg<br>Cargo compartment 5: 1 000 kg<br>Passengers in compartment OA: 20<br>Passengers in compartment OB: 20<br>Passengers in compartment OC: 30<br>The take-off centre of gravity in MAC % (Mean Aerodynamic Chord), will be located at:","031-35","031-38","32.5%","24.5%",3,,
Mass And Balance,"Refer to figure 031-56<br>Last Minute Change (LMC) information:<br><br>Passengers embarked at row 7: 3 females<br>Passengers embarked at row 7: 2 males<br>Baggage loaded in compartment 5: 5 pieces<br>Cargo box with mail added in compartment 4: 60 kg<br>Cargo box offloaded from compartment 4: 190 kg<br><br>Find the LMC TOTAL value by using standard masses for females, males and baggage for a domestic, scheduled flight:",311 kg,501 kg,691 kg,201 kg,2,,
Mass And Balance,Refer to figure 031-55<br>Given:<br>Item Index Mass<br>DOI/DOM: 54.0 39 000 kg<br>Passenger load: -2.21 10 715 kg<br>Cargo load: 1.95 3 355 kg<br>Take-off fuel: 11.84 8 900 kg<br>Find the approximate CG position as % MAC for the take-off:,65.6 %,15.8 %,25.0 %,22.7 %,3,,
Mass And Balance,Refer to figure 031-34<br>The empty mass of your aircraft is 1 100 kg with a CG-position at 3.05 m. The load is as follows:<br><br>Total Mass of pilot and co-pilot: 150 kg<br>Total Mass of passengers at rear: 200 kg<br><br>In order not to exceed the limitations the minimum remaining fuel on board should be:,250 kg,125 kg,450 kg,350 kg,2,,
