category,question,optionA,optionB,optionC,optionD,correct,image,explanation
OPS,"According to ICAO Doc 8168, a noise abatement departure procedure is not to be initiated at less than:",1 500 ft above aerodrome elevation.,1 000 ft above aerodrome elevation.,800 ft above aerodrome elevation.,2 000 ft above aerodrome elevation.,3,,
OPS,"Noise attenuation shall not be the determining factor in the designation of a runway, under the following circumstances:<br>1) When crosswind component, including gust, exceeds 15 knots.<br>2) When the tailwind component, including gust, exceeds 5 knots.<br>3) When the runway is not clear or dry.<br>The combination regrouping all the correct statements is:","1, 2, 3","1, 2","1, 3","2, 3",1,,
OPS,"In accordance with (ICAO) DOC 8168 - OPS, noise preferential routes are established to ensure that departing and arriving aeroplanes avoid overflying noise-sensitive areas in the vicinity of the aerodrome as far as practicable. In establishing noise preferential routes:",no turns should be required coincident with a reduction of power associated with a noise abatement procedure.,turns during take-off and climb should not be required unless the bank angle for turns is limited to 28Â° (climbing at V2 + 10 to 20 kts).,turns during take-off and climb should not be required unless the bank angle for turns is limited to 20Â° (climbing at V2 + 10 to 20 kts).,turns during take-off and climb should not be required unless the aeroplane has reached and can maintain throughout the turn a height of no less than 100 m above terrain and the highest obstacle.,1,,
OPS,"State the conditions under which you would be expected to follow a published noise abatement approach procedure:<br>1) crosswind of 10 kts.<br>2) ceiling less than 500 ft.<br>3) visibility greater than 2 000 m.<br>4) rain in the vicinity of airport, but the runway is dry.","1, 2, 4","2, 3, 4","1, 3, 4","1, 2, 3, 4",3,,
OPS,"In establishing a noise abatement procedure, an operator should:",only provide such procedures for aircraft which were approved after 1996.,offer additional training for the crew if a procedure is very complicated.,ensure that safety has priority over noise requirements and that the procedure does not significantly increase the pilots workload.,ensure that the noise footprint will not exceed the limits given by EASA.,3,,
OPS,"In accordance with EASA AIR OPS, the take-off climb procedures for noise abatement to be specified by the operator should be:",different according to aerodromes and aeroplane types.,the same for all aerodromes for one aeroplane type.,the same for all aerodromes for all aeroplane types.,the same for a specific aerodrome for all aeroplane types.,2,,
OPS,"According with the ""noise abatement take-off and climb procedure 2"", as established in ICAO PANS OPS 8168 - Ops Volume 1, part V, aircraft must climb at V2 + 10 to 20 kts, until reaching:",800 ft AGL.,500 ft AGL.,1 500 ft AGL.,3 000 ft AGL.,1,,
OPS,Which ICAO document do you follow for noise abatement procedures?,"EASA OPS Manual Parts A, B & C",ICAO Doc 8168,ICAO Doc 7030,EASA OPS Manual for Noise Abatement,2,,
OPS,Can reverse thrust be used at 23:59 UTC if noise abatement hours are from 22:00 - 03:00 UTC?,"Yes, there is no restriction to reverse thrust.",Only in case of a brake malfunction.,If ATC grants permission.,Never.,1,,
OPS,What action should be taken when following an engine failure procedure after take-off whilst following NADP 1?,No action required.,Request following NADP 2.,The pilot has authority to disregard the noise abatement procedure.,Request ATC to disregard the noise abatement procedure.,3,,
OPS,Where can you find information about Noise Abatement Procedures (NAP) when flying within Greece?,AIP Part AD,AIP Part ENR,Noise abatement procedures are not contained in AIPs.,AIP Part GEN,1,,
OPS,Noise abatement procedures for aeroplanes can be found in AIP section:,AD 3,AD 2,AD 1,GEN,2,,
OPS,"According to the recommended noise abatement procedures contained in the ICAO PANS OPS 8168 Volume I part V, data available indicate that the procedure which results in the biggest noise relief during the part of the procedure close to the airport:",depends on the wind component.,is procedure 1.,is procedure 2.,"is either procedure 1 or 2, because there is not difference in noise distribution.",2,,
OPS,Who has the responsibility for establishing operating procedures for noise abatement purposes during instrument flight in compliance with ICAO PANS OPS 8168 / EASA AIR OPS?,The state of the operator.,The operator.,The commander.,The state in which the aircraft is operating.,2,,
OPS,"According to the recommended ""noise abatement take-off and climb procedure"" NADP 2, established in ICAO Doc 8168, acceleration and flaps/slats retraction is initiated:",at 1 500 ft.,at 3 000 ft.,not below 800 ft.,not below 1 000 ft.,3,,
