category,question,optionA,optionB,optionC,optionD,correct,image,explanation
Performance,"The pilot of a light twin engine aircraft has calculated a 4 000 m service ceiling, based on the forecast general conditions for the flight and a Take-off Mass of 3 250 kg. If the Take-off Mass is 3 000 kg, the service ceiling will be:",higher than 4 000 m.,only a new performance analysis will determine if the service ceiling is higher or lower than 4 000 m.,"unchanged, equal to 4 000 m.",less than 4 000 m.,1,,
Performance,Consider a glide with all engines off. Initial conditions are zero wind and attitude of the airplane gives maximum range. A headwind arises and initially the aircraft attitude is not changed. After some time has passed:,the glide range increases when the CL is reduced.,the glide range remains the same when CL is reduced.,the glide range remains maximum when CL remains the same.,the glide range decreases when the CL is reduced.,1,,
Performance,Consider a climb with a piston engine airplane. What will happen to the fuel flow if the pilot maintains the same power setting?,With increasing altitude air density decreases and the power output of the engine decreases. This has to be compensated for by an increased fuel flow.,The temperature decreases and thereby compensates for the decreasing air density which is caused by the decreasing pressure. Therefore the fuel flow remains the same.,The temperature decreases and thereby over-compensates for the decreasing air density which is caused by the decreasing pressure. This results in a decreasing fuel flow.,"With increasing altitude air density decreases, therefore less fuel is required for combustion, so the fuel flow decreases.",1,,
Performance,"Moving the centre of gravity from the forward to the aft limit (gross mass, altitude and airspeed remain unchanged):",increases the induced drag.,decreases the induced drag and reduces the power required.,affects neither drag nor power required.,increases the power required.,2,,
Performance,"In case of an engine failure with a multi-engine aeroplane, how are the changes from Vx to VxSE and from Vy to Vyse?",VxSE is higher than Vx and VySE is higher than Vy,VxSE is higher than Vx and VySE is lower than Vy,VxSE is lower than Vx and VySE is higher than Vy,VxSE is lower than Vx and VySE is lower than Vy,2,,
Performance,"Other factors remaining constant, how does increasing altitude affect Vx and Vy in terms of TAS?",Vy remains constant and Vx increases.,Both will increase.,Vy remains constant and Vx decreases.,Both remain constant.,2,,
Performance,What is the influence of the mass on maximum rate of climb (ROC) speed if all other parameters remain constant?,The ROC and the ROC speed are independent of the mass.,The ROC speed increases with increasing mass.,The ROC speed decreases with increasing mass.,"The ROC is affected by the mass, but not the ROC speed.",2,,
Performance,Assume a normal approach and landing with a class B airplane on a dry runway. Which of the following values shows the corresponding screen height?,50 ft,60 ft,100 ft,35 ft,1,,
Performance,Approaching in turbulent wind conditions during manual flight requires:,no change.,a steeper approach path.,an increase in approach speed.,an increase in VREF.,3,,
Performance,"Consider a multi-engine piston airplane performance class B. Both, METAR and TAF indicate that you can expect a wet runway at your destination airport, therefore the landing distance should be multiplied by the following factor:",1.15,1.67,1.3,1.25,1,,
Performance,Consider maximum range speed and speed for maximum angle of climb. How will a headwind affect those speeds? (Assume all other factors remain the same),Maximum range speed increases and speed for maximum angle of climb remains the same.,Maximum range speed decreases and speed for maximum angle of climb increases.,Maximum range speed remains the same and speed for maximum angle of climb remains the same.,Maximum range speed remains the same and speed for maximum angle of climb increases.,1,,
Performance,"A twin-engine piston aeroplane with all engines operating commences take-off and the following information is given:<br><br>Maximum take-off mass: 4750 kg<br>Airport elevation: 500 ft<br>Obstacle elevation: 644 ft<br>Distance from the end of the take-off distance to the obstacle: 2 000 m<br>Temperature: ISA<br>QNH: 1 018 hPa<br>SID: straight departure, no specific climb requirements published<br><br>What is the regulatory minimum vertical clearance between aircraft and obstacle?",175 ft,694 ft,35 ft,50 ft,4,,
Performance,The flight manual of a light twin engine recommends two cruise power settings: 65% and 75%. The 75% power setting in relation to the 65% results in:,"an increase in speed, fuel consumption and fuel-burn/distance.","an increase in speed and fuel-burn/distance, but an unchanged fuel-burn per hour.","same speed and fuel-burn/distance, but an increase in the fuel-burn per hour.",same speed and an increase of the fuel-burn per hour and fuel-burn/distance.,1,,
Performance,A runway is contaminated by a 0.5 cm layer of wet snow. The take-off is nevertheless authorized by a light-twin's flight manual. The take-off distance in relation to a dry runway will be:,decreased.,unchanged.,increased.,very significantly decreased.,3,,
Performance,"On a twin engined piston aircraft with variable pitch propellers, for a given mass and altitude, the minimum drag speed is 125 kts and the holding speed (minimum fuel burn per hour) is 95 kts. The best rate of climb speed will be obtained for a speed:",equal to 95 kts.,between 95 and 125 kts.,< 95 kts.,equal to 125 kts.,2,,
Performance,If the actual Landing Mass is higher than planned:,the approach path will be steeper and threshold speed higher.,the landing distance will be longer.,the approach path will be steeper.,the landing distance will be unaffected.,2,,
Performance,The take-off distance required increases:,due to headwind because of the drag augmentation.,due to lower gross mass at take-off.,due to slush on the runway.,due to downhill slope because of the smaller angle of attack.,3,,
Performance,"The climb gradient of an aircraft after take-off is 6% in standard atmosphere, no wind, at 0 ft pressure altitude. Using the following corrections:<br>Â± 0.2% / 1 000 ft field elevation<br>Â± 0.1% / °C from standard temperature<br>- 1 % with wing anti-ice<br>- 0.5% with engine anti-ice<br>The climb gradient after take-off from an airport situated at 1 000 ft, 17 °C; QNH 1013,25 hPa, with wing and engine anti-ice operating for a functional check is:",4.9%,3.9%,4.7%,4.3%,2,,
Performance,"If the TAS is 100 kts on the glide slope of 3°, what is the rate of descent?",500 ft/min.,1 000 ft/min.,300 ft/min.,250 ft/min.,1,,
Performance,"A runway is contaminated with 0.5 cm of wet snow. The flight manual of a light twin nevertheless authorises a landing in these conditions. The landing distance will be, in relation to that for a dry runway:",increased,unchanged,reduced,substantially decreased,1,,
Performance,"With an true airspeed of 194 kt and a vertical speed of 1 000 ft/min, the climb angle is about:",3°,0.03,0.08,5°,1,,
Performance,"The take-off distance of an aircraft is 600 m in standard atmosphere, no wind at 0 ft pressure-altitude. Using the following corrections:<br>+ 20 m / 1 000 ft field elevation<br>- 5 m / kts headwind<br>+ 10 m / kts tailwind<br>Â± 15 m / % runway slope<br>Â± 5 m / °C deviation from standard temperature<br><br>The take-off distance from an airport at 1 000 ft elevation, temperature 17 °C, QNH 1013.25 hPa, 1% up-slope, 10 kts tailwind is:",715 m,685 m,755 m,555 m,3,,
Performance,Given:<br>Performance class: B<br>Cloud base above reference zero: 300 ft<br>Wind: calm<br>Obstacle distance (from end of TODR): 15 000 ft<br>Obstacle height above reference zero: 600 ft<br>ROC (all engines): 1 830 ft/min<br>ROC (single engine): 400 ft/min<br>TAS: 101 kts<br><br>Find the minimum obstacle clearance above the obstacle:<br>(Note: take-off power can be used for the whole climb segment),50 ft,235 ft,215 ft,815 ft,3,,
Performance,"An aircraft has two certified landing flaps positions, 25° and 35°. If a pilot chooses 25° instead of 35°, the aircraft will have:",an increased landing distance and degraded go-around performance.,a reduced landing distance and better go-around performance.,an increased landing distance and better go-around performance.,a reduced landing distance and degraded go-around performance.,3,,
Performance,"Following a take-off, limited by the 50 ft screen height, a light twin climbs on a gradient of 5%. It will clear a 160 m obstacle in relation to the runway (horizontally), situated at 5 000 m from the 50 ft point with an obstacle clearance margin of:",75 m.,90 m.,it will not clear the obstacle.,105 m.,4,,
Performance,"With a true airspeed of 194 kts and a vertical speed of 1 000 ft/min, the climb gradient is about:",8%,5.1%,5°,3%,2,,
Performance,"Following a take-off determined by the 50 ft (15 m) screen height, a light twin climbs on a 10% over-the-ground climb gradient. It will clear a 900 m high obstacle in relation to the runway (horizontally), situated at 10000 m from the 50 ft clearing point with an obstacle clearance of:",100 m.,85 m.,it will not clear the obstacle.,115 m.,4,,
Performance,Refer to figure 032-12<br>Consider the take-off performance for the twin jet aeroplane climb limit chart. Why has the wind been omitted from the chart?,The effect of the wind must be taken from another chart.,There is no effect of the wind on the climb angle relative to the ground.,The climb limit performances are taken relative to the air.,There is a built-in safety measure.,3,,
Performance,"Refer to figure 032-12<br>With regard to the take-off performance of a twin jet aeroplane, why does the take-off performance climb limit graph show a kink at 30 °C and pressure altitude 0 ft?",At higher temperatures the VMBE determines the climb limit mass.,At lower temperatures one has to take the danger of icing into account.,At temperatures higher than ISA the flat rated engines determine the climb limit mass.,"The engines are pressure limited at lower temperature, at higher temperatures they are temperature limited.",4,,
