category,question,optionA,optionB,optionC,optionD,correct,image,explanation
RNAV,Refer to figure 062-22<br>An example of amplitude modulation is depicted in figure:,A,B,C,D,1,,
RNAV,Refer to figure 062-20<br>Which number in the picture indicates the skip distance?,2,4,3,1,2,,
RNAV,Refer to figure 062-23<br>The picture shows:,"1) diffraction, 2) disturbed, 3) reflection","1) refraction, 2) absorption, 3) reflection","1) refraction, 2) scattered, 3) reflection","1) reflection, 2) propagation, 3) refraction",2,,
RNAV,How is amplitude modulation accomplished?,The information is added onto the carrier wave by interrupting the carrier wave.,The information is added onto the carrier wave by altering the frequency of the carrier wave.,The information is added onto the carrier wave by altering the amplitude of the carrier wave.,The information is added onto the carrier wave by reversing the phases of the carrier wave.,3,,
RNAV,"With regard to types of transmission, which of the following statements is true:",Continuous Wave transmission varies only in amplitude.,In pulse transmission the frequency is modulated to facilitate range measurement.,Continuous Wave transmission can be either frequency or amplitude modulated.,Pulse transmission is suitable only for NDB's.,3,,
RNAV,The frequency which corresponds to a wavelength of 12 cm is:,2 500 kHz,360 MHz,3 600 MHz,2 500 MHz,4,,
RNAV,VLF (Very Low Frequency) waves appear in the frequency spectrum:,3 GHz - 30 GHz,30 MHz - 300 MHz,3 kHz - 30 kHz,300 MHz - 3 000 MHz,3,,
RNAV,"The term ""Keying"" means:",interrupting the carrier wave to break it into dots and dashes.,adding information on the carrier wave by use of modulating signal.,changing the amplitude of the carrier wave to add information.,interrupting the modulating signal to break it into dots and dashes.,1,,
RNAV,Single Side Band (SSB) is used:,with transmissions of the Meteorological Aerodrome Report (METAR).,with NDB transmissions to reduce bandwidth.,in HF two-way communication.,in VHF transmissions to reduce transmission power.,3,,
RNAV,Which of the following is true with reference to frequency of a radio wave?,Frequency is the maximum deflection in a radio wave expressed in Hertz (Hz).,Frequency is the length of a radio wave expressed as an angle.,Frequency is the number of cycles in one second in a radio wave expressed in Hertz (Hz).,Frequency is the minimum number of cycles occurring in one minute in a radio wave expressed in Hertz (Hz).,3,,
RNAV,UHF (Ultra High Frequency) waves appear in the frequency spectrum:,300 MHz - 3 000 MHz,3 GHz - 30 GHz,30 MHz - 300 MHz,3 MHz - 30 MHz,1,,
RNAV,"With regard to radio waves propagation, a ""cycle"" is defined as:",the length of the pulse.,a number of oscillations per second.,a complete series of values of a periodical process.,the distance covered by a radio wave in one second.,3,,
RNAV,In accordance with the ITU (International Telecommunication Union) a radio signal may be classified by three symbols. Third symbol indicates (e.g. A1A):,Type of modulation of the secondary carrier.,Nature of signal(s) modulating the main carrier.,Type of modulation of the main carrier.,Nature of the information to be transmitted.,4,,
RNAV,What is the approximate speed of a radio wave?,300 000 m/s,300 000 NM/s,300 000 ft/s,300 000 km/s,4,,
RNAV,The wavelength of a radio signal transmitted at the frequency of 75 MHz is:,4 m,40 m,75 m,7.5 m,1,,
RNAV,"The definition of unit ""Hertz"" (Hz) is:",the number of oscillations per minute of an electromagnetic wave.,the distance covered by a radio wave in one second.,the duration of an oscillation.,the number of oscillations per second of an electromagnetic wave.,4,,
RNAV,"Single-sideband modulation (SSB) is a modulation technique where only one sideband is transmitted, SSB is used for.",VHF VOR and GNSS.,HF one-way communication.,VHF communication and HF Volmet.,HF Volmet and HF two-way communication.,4,,
RNAV,In accordance with the ITU (International Telecommunication Union) a radio signal may be classified by three symbols. First symbol indicates (e.g. A1A):,Nature of the information to be transmitted.,Nature of signal(s) modulating the main carrier.,Type of modulation of the secondary carrier.,Type of modulation of the main carrier.,4,,
RNAV,"The term ""Modulation"" means:",Tuning receiver into the frequency of the transmitter,"Addition of a high frequency signal (tone, voice) onto low frequency carrier wave","Addition of a low frequency signal (tone, voice) onto high frequency carrier wave",Elimination of disturbances for improving reception,3,,
RNAV,Phase modulation:,is a modulation form used in GPS where the phase of the carrier wave is reversed.,results in a change of amplitude of the carrier wave.,results in a change of polarisation of the modulated signal.,is a modulation form used in ILS where the phase of the navigation signal is changed with 90° or 150°.,1,,
RNAV,"The term ""phase"" can be defined as:",the number of complete cycles formed per second.,"the angular difference between the corresponding points of two cycles of equal wavelength, which is measurable in degrees.","the sequence of events in which the RF energy goes from zero to maximum positive, to zero, to maximum negative and returns to zero forming a single wave.",the fraction of one wavelength expressed in degrees from 000° to 360°.,4,,
RNAV,"The term ""phase difference"" can be defined as:","the sequence of events in which the RF energy goes from zero to maximum positive, to zero, to maximum negative and returns to zero forming a single wave.",the fraction of one wavelength expressed in degrees from 000° to 360°.,the number of complete cycles formed per second.,"the angular difference between the corresponding points of two cycles of equal wavelength, which is measurable in degrees.",4,,
RNAV,The wavelength of a non-directional beacon (NDB) at a frequency of 300 kHz is:,100 metres,1 000 metres,1 metre,10 metres,2,,
RNAV,The amplitude of a wave or oscillation is:,its max length.,the information impressed onto the carrier wave.,speed of light divided by frequency.,its max deflection.,4,,
RNAV,Where is pulse modulation used?,VHF,ILS localiser,Radar,VOR,3,,
RNAV,The wavelength of a radio signal with a frequency of 121.95 MHz is:,2.46 m,2.46 cm,24.60 m,24.60 cm,1,,
RNAV,The advantage of the use of slotted antennas in modern radar technology is to:,virtually eliminate lateral lobes and as a consequence concentrate more energy in the main beam.,simultaneously transmit weather and mapping beams.,eliminate the need for azimuth slaving.,have a wide beam and as a consequence better target detection.,1,,
RNAV,"Considering a primary radar system, what kind of aerials are used?","An omni-directional antenna for transmitting, and a directional antenna for receiving.",One directional antenna for transmitting and one for receiving.,"A directional antenna for transmitting, and an omni-directional antenna for receiving.",One directional antenna both for transmitting and for receiving.,4,,
RNAV,"Given a wire fed with alternating current and a second wire parallel to, but remote from it. The results will be:",the first wire will radiate electromagnetic waves into space and direct current will be induced in the second wire.,the first wire will radiate electromagnetic waves into space and the second wire will double the transmission power of the first one.,the first wire will radiate electromagnetic waves into space but the transmitted energy will be completely absorbed by the second wire.,the first wire will radiate electromagnetic waves into space and alternating current will be induced in the second wire.,4,,
